pattern,priority,risk_level,expected_coverage,description
4468??????25,HIGH,LOW,21,Префикс 4468 + 6 любых цифр + суффикс 25
4964??????33,HIGH,LOW,21,Префикс 4964 + 6 любых цифр + суффикс 33
3354??????95,HIGH,LOW,20,Префикс 3354 + 6 любых цифр + суффикс 95
4477??????34,HIGH,LOW,20,Префикс 4477 + 6 любых цифр + суффикс 34
4424??????78,MEDIUM,LOW,19,Префикс 4424 + 6 любых цифр + суффикс 78
4470??????68,MEDIUM,LOW,19,Префикс 4470 + 6 любых цифр + суффикс 68
4976??????01,MEDIUM,LOW,19,Префикс 4976 + 6 любых цифр + суффикс 01
4947??????23,MEDIUM,LOW,16,Префикс 4947 + 6 любых цифр + суффикс 23
9929??????**,HIGH,MEDIUM,80,Префикс 9929 + 6 любых цифр кода + 2 любые цифры суффикса
3512??????**,HIGH,LOW,48,Префикс 3512 + 6 любых цифр кода + 2 любые цифры суффикса
3358??????**,HIGH,LOW,43,Префикс 3358 + 6 любых цифр кода + 2 любые цифры суффикса
3374??????**,HIGH,LOW,42,Префикс 3374 + 6 любых цифр кода + 2 любые цифры суффикса
4455??????**,HIGH,LOW,42,Префикс 4455 + 6 любых цифр кода + 2 любые цифры суффикса
4448??????**,HIGH,LOW,41,Префикс 4448 + 6 любых цифр кода + 2 любые цифры суффикса
3365??????**,HIGH,LOW,40,Префикс 3365 + 6 любых цифр кода + 2 любые цифры суффикса
3376??????**,HIGH,LOW,39,Префикс 3376 + 6 любых цифр кода + 2 любые цифры суффикса
3364??????**,HIGH,LOW,38,Префикс 3364 + 6 любых цифр кода + 2 любые цифры суффикса
3367??????**,HIGH,LOW,38,Префикс 3367 + 6 любых цифр кода + 2 любые цифры суффикса
3338??????**,HIGH,LOW,37,Префикс 3338 + 6 любых цифр кода + 2 любые цифры суффикса
3347??????**,HIGH,LOW,37,Префикс 3347 + 6 любых цифр кода + 2 любые цифры суффикса
4931??????**,HIGH,LOW,37,Префикс 4931 + 6 любых цифр кода + 2 любые цифры суффикса
3355??????**,HIGH,LOW,36,Префикс 3355 + 6 любых цифр кода + 2 любые цифры суффикса
3356??????**,HIGH,LOW,36,Префикс 3356 + 6 любых цифр кода + 2 любые цифры суффикса
4428??????**,HIGH,LOW,36,Префикс 4428 + 6 любых цифр кода + 2 любые цифры суффикса
4478??????**,HIGH,LOW,36,Префикс 4478 + 6 любых цифр кода + 2 любые цифры суффикса
4463??????**,HIGH,LOW,35,Префикс 4463 + 6 любых цифр кода + 2 любые цифры суффикса
4921??????**,HIGH,LOW,35,Префикс 4921 + 6 любых цифр кода + 2 любые цифры суффикса
4925??????**,HIGH,LOW,35,Префикс 4925 + 6 любых цифр кода + 2 любые цифры суффикса
3346??????**,HIGH,LOW,34,Префикс 3346 + 6 любых цифр кода + 2 любые цифры суффикса
3348??????**,HIGH,LOW,34,Префикс 3348 + 6 любых цифр кода + 2 любые цифры суффикса
3366??????**,HIGH,LOW,34,Префикс 3366 + 6 любых цифр кода + 2 любые цифры суффикса
4932??????**,HIGH,LOW,34,Префикс 4932 + 6 любых цифр кода + 2 любые цифры суффикса
4941??????**,HIGH,LOW,34,Префикс 4941 + 6 любых цифр кода + 2 любые цифры суффикса
3328??????**,HIGH,LOW,33,Префикс 3328 + 6 любых цифр кода + 2 любые цифры суффикса
4447??????**,HIGH,LOW,33,Префикс 4447 + 6 любых цифр кода + 2 любые цифры суффикса
4427??????**,HIGH,LOW,32,Префикс 4427 + 6 любых цифр кода + 2 любые цифры суффикса
4435??????**,HIGH,LOW,32,Префикс 4435 + 6 любых цифр кода + 2 любые цифры суффикса
4454??????**,HIGH,LOW,32,Префикс 4454 + 6 любых цифр кода + 2 любые цифры суффикса
4922??????**,HIGH,LOW,32,Префикс 4922 + 6 любых цифр кода + 2 любые цифры суффикса
4940??????**,HIGH,LOW,32,Префикс 4940 + 6 любых цифр кода + 2 любые цифры суффикса
3357??????**,HIGH,LOW,31,Префикс 3357 + 6 любых цифр кода + 2 любые цифры суффикса
4438??????**,HIGH,LOW,31,Префикс 4438 + 6 любых цифр кода + 2 любые цифры суффикса
4933??????**,HIGH,LOW,31,Префикс 4933 + 6 любых цифр кода + 2 любые цифры суффикса
4465??????**,HIGH,LOW,30,Префикс 4465 + 6 любых цифр кода + 2 любые цифры суффикса
3368??????**,HIGH,LOW,29,Префикс 3368 + 6 любых цифр кода + 2 любые цифры суффикса
4445??????**,HIGH,LOW,29,Префикс 4445 + 6 любых цифр кода + 2 любые цифры суффикса
4453??????**,HIGH,LOW,29,Префикс 4453 + 6 любых цифр кода + 2 любые цифры суффикса
4920??????**,HIGH,LOW,29,Префикс 4920 + 6 любых цифр кода + 2 любые цифры суффикса
4923??????**,HIGH,LOW,29,Префикс 4923 + 6 любых цифр кода + 2 любые цифры суффикса
4934??????**,HIGH,LOW,29,Префикс 4934 + 6 любых цифр кода + 2 любые цифры суффикса
4942??????**,HIGH,LOW,29,Префикс 4942 + 6 любых цифр кода + 2 любые цифры суффикса
4944??????**,HIGH,LOW,29,Префикс 4944 + 6 любых цифр кода + 2 любые цифры суффикса
3337??????**,HIGH,LOW,28,Префикс 3337 + 6 любых цифр кода + 2 любые цифры суффикса
3375??????**,HIGH,LOW,28,Префикс 3375 + 6 любых цифр кода + 2 любые цифры суффикса
4426??????**,HIGH,LOW,28,Префикс 4426 + 6 любых цифр кода + 2 любые цифры суффикса
4926??????**,HIGH,LOW,28,Префикс 4926 + 6 любых цифр кода + 2 любые цифры суффикса
4930??????**,HIGH,LOW,28,Префикс 4930 + 6 любых цифр кода + 2 любые цифры суффикса
4945??????**,HIGH,LOW,28,Префикс 4945 + 6 любых цифр кода + 2 любые цифры суффикса
4437??????**,HIGH,LOW,27,Префикс 4437 + 6 любых цифр кода + 2 любые цифры суффикса
4444??????**,HIGH,LOW,27,Префикс 4444 + 6 любых цифр кода + 2 любые цифры суффикса
4474??????**,HIGH,LOW,27,Префикс 4474 + 6 любых цифр кода + 2 любые цифры суффикса
4935??????**,HIGH,LOW,27,Префикс 4935 + 6 любых цифр кода + 2 любые цифры суффикса
4950??????**,HIGH,LOW,27,Префикс 4950 + 6 любых цифр кода + 2 любые цифры суффикса
4960??????**,HIGH,LOW,27,Префикс 4960 + 6 любых цифр кода + 2 любые цифры суффикса
4972??????**,HIGH,LOW,27,Префикс 4972 + 6 любых цифр кода + 2 любые цифры суффикса
3377??????**,HIGH,LOW,26,Префикс 3377 + 6 любых цифр кода + 2 любые цифры суффикса
4456??????**,HIGH,LOW,26,Префикс 4456 + 6 любых цифр кода + 2 любые цифры суффикса
4472??????**,HIGH,LOW,26,Префикс 4472 + 6 любых цифр кода + 2 любые цифры суффикса
4951??????**,HIGH,LOW,26,Префикс 4951 + 6 любых цифр кода + 2 любые цифры суффикса
3373??????**,HIGH,LOW,25,Префикс 3373 + 6 любых цифр кода + 2 любые цифры суффикса
4436??????**,HIGH,LOW,25,Префикс 4436 + 6 любых цифр кода + 2 любые цифры суффикса
4446??????**,HIGH,LOW,25,Префикс 4446 + 6 любых цифр кода + 2 любые цифры суффикса
4943??????**,HIGH,LOW,25,Префикс 4943 + 6 любых цифр кода + 2 любые цифры суффикса
4953??????**,HIGH,LOW,25,Префикс 4953 + 6 любых цифр кода + 2 любые цифры суффикса
4961??????**,HIGH,LOW,25,Префикс 4961 + 6 любых цифр кода + 2 любые цифры суффикса
4962??????**,HIGH,LOW,25,Префикс 4962 + 6 любых цифр кода + 2 любые цифры суффикса
4462??????**,HIGH,LOW,24,Префикс 4462 + 6 любых цифр кода + 2 любые цифры суффикса
4473??????**,HIGH,LOW,24,Префикс 4473 + 6 любых цифр кода + 2 любые цифры суффикса
3809??????**,HIGH,LOW,22,Префикс 3809 + 6 любых цифр кода + 2 любые цифры суффикса
4924??????**,HIGH,LOW,22,Префикс 4924 + 6 любых цифр кода + 2 любые цифры суффикса
4952??????**,HIGH,LOW,22,Префикс 4952 + 6 любых цифр кода + 2 любые цифры суффикса
8190??????**,HIGH,LOW,22,Префикс 8190 + 6 любых цифр кода + 2 любые цифры суффикса
4466??????**,HIGH,LOW,21,Префикс 4466 + 6 любых цифр кода + 2 любые цифры суффикса
4471??????**,HIGH,LOW,21,Префикс 4471 + 6 любых цифр кода + 2 любые цифры суффикса
4970??????**,HIGH,LOW,21,Префикс 4970 + 6 любых цифр кода + 2 любые цифры суффикса
4475??????**,HIGH,LOW,20,Префикс 4475 + 6 любых цифр кода + 2 любые цифры суффикса
9989??????**,MEDIUM,LOW,19,Префикс 9989 + 6 любых цифр кода + 2 любые цифры суффикса
4464??????**,MEDIUM,LOW,18,Префикс 4464 + 6 любых цифр кода + 2 любые цифры суффикса
8170??????**,MEDIUM,LOW,18,Префикс 8170 + 6 любых цифр кода + 2 любые цифры суффикса
8180??????**,MEDIUM,LOW,18,Префикс 8180 + 6 любых цифр кода + 2 любые цифры суффикса
4457??????**,MEDIUM,LOW,17,Префикс 4457 + 6 любых цифр кода + 2 любые цифры суффикса
3752??????**,MEDIUM,LOW,14,Префикс 3752 + 6 любых цифр кода + 2 любые цифры суффикса
4989??????**,MEDIUM,LOW,14,Префикс 4989 + 6 любых цифр кода + 2 любые цифры суффикса
8210??????**,MEDIUM,LOW,13,Префикс 8210 + 6 любых цифр кода + 2 любые цифры суффикса
3806??????**,MEDIUM,LOW,12,Префикс 3806 + 6 любых цифр кода + 2 любые цифры суффикса
